ID,Question,A,B,C,D,E,Answer
163,L'età gestazionale più adatta ad un prelievo di villi coriali e:,,11 settimane,16 settimane,20 settimane,22 settimane,E
164,"Quali farmaci ipolipemizzanti si sono dimostrati in grado di ridurre il
rischio coronarico nei pazienti diabetici ?",,cerivastatina,tutte le statin,il gemfibrozi,tutti i fibrati,E
165,Il sodio plasmatico:,,Spiega circa l'85% dell'osmolarità del compartimento extracellulare,Il sodio non scambiabile è localizzato nell'osso,Nessuna delle risposte è esatta,Tutte le risposte sono esatte,E
166,La sindrome ipereosinofila:,,,,Nessuna delle risposte è esatta,Tutte le risposte sono esatte,E
167,Quale è la percentuale di sopravvivenza a 5 anni dei tumori polmonari?,,19%,15%,25%,5%,E
168,E' una malattia da prioni,lzheimer,febbre familiare fatale,,Huntington,Malattia di Giacobbi,E
169,Quale deficit enzimatico può essere causa di enfisema,,esochinasi,fruttosio,alpha1-antitripsina,antitrombina-3,E
170,Indicare quale dei seguenti farmaci può essere gastrolesivo:,,indometacina,ondansetron,terfenadina,aminofillina,E
171,E' una malattia da difetto di riparo del DN,atassia teleangectasia,sindrome dell'X fragile,fibrosi cistica,neurofibromatosi di tipo 1,Neurofibromatosi di tipo 2,E
172,"Quale delle seguenti alterazioni non si associa a un aumentato rischio di
trombosi venosa:",,deficit di proteina S,,deficit di alfa 2 antiplasmina,deficit del cofattore 2 dell'eparina,E
173,"Quale dei seguenti corticosteroidi ha una emivita biologica superiore alle
36 h?",,desametasone,prednisone,cortisone,fluticasone,E
174,"In condizioni fisiologiche nell'adulto la concentrazione di sodio nelle urine
è :",,>1000 m,200-1000 meq/L,>500 meq/L,q,E
175,"Tutte le seguenti condizioni patologiche interessano l'articolazione
interfalangea distale tranne:",rtrite reumatoide,Osteoartrite erosiva,Psoriasi associata ad alterazioni ungueali,,,E
176,Quale delle seguenti asserzioni sul trattamento del seminoma non e' vera:,,"tumori al II stadio (interessamento linfonodi retroperitoneali) con estesa
malattia retroperitoneale possono essere trattati con chemioterapia","maggior parte dei pazienti si presenta con tumore al I stadio con tasso di
sopravvivenza >90%","seminoma al I stadio (confinato al testicolo) di solito trattato con
chemioterapia adiuvante dopo resezione chirurgica",tutte le precedenti,E
177,L'enzima di conversione dell'angiotensina o chininasi II inattiva:,,callidina,leu-encefalina,neurochinina,angiotensinogeno,E
178,"Quale è l'alterazione del metabolismo delle lipoproteine più frequente nella
Iperlipemia Familiare Combinata?",,aumentata sintesi delle VL,ridotta sintesi delle L,aumenata sintesi degli acidi grassi,nessuno dei precedenti,E
179,"Tutte le seguenti caratteristiche sono compatibili con la diagnosi di stenosi
mitralica tranne:",,schiocco d'apertura,G,quadro di ventricolo sinstro da sforzo all',dispnea,E
180,"La frequenza nella popolazione italiana dell' ipercolesterolemia familiare
eterozigote è pari a:",,1 caso ogni 500 individui,1 caso ogni 1000 individui,1 caso ogni 500 individui ma solo nel sesso maschile,Nessuno delle precedenti,E
181,La Sclerosi di Monckeberg è caratterizzata da calcificazioni interessanti:,,,,,,
182,"Nel corso di quale tra le seguenti intossicazioni si realizza un blocco della
catena respiratoria cellulare?",,intossicazione da cianuro,intossicazione da pesticidi,intossicazione da vapori di cloro,intossicazione da piretroidi,E
183,Le neoplasie renali nei dializzati:,,sono raramente bilaterali,non si verificano nei riceventi di trapianto renale,metastatizzano raramente se tumore < 3 cm,nessuna della precedenti,E
184,"Quale è il recettore per la azione dei farmaci antinfiammatori non steroidei
(FANS)?",2,cicloossigenasi,fosfolipasi,citocromo P450 reduttasi,nitrossido sintetasi,E
185,Il flusso coronarico sinistro aumenta:,,In condizioni di ipossia,on l'iperventilazione,,,E
186,Cause frequenti di pericardite acuta sono:,,La coronarografia,L'ecocardiogramma transesofageo,Lo studio elettrofisiologico,Nessuna delle cause indicate,E
187,Quali tra questi farmaci bloccano il riassorbimento osseo?,,TSH,paratormone,glucocorticoidi,,E
188,"Quali sono le alterazioni ematochimiche di più frequente riscontro
nell'osteoporosi",,ipocalcemia,iperfosfatasemia,tutte le precedenti,nessuna delle precedenti,E
189,Quali tra i seguenti farmaci non trova utilizzo nel delirium tremens?,,fenobarbital,diazepam,disulfiram,gamma-idrossibutirrato,E
190,"Quali test di laboratorio sono indicati per la valutazione di primo livello di
una dislipidemia?",,determinazione degli ormoni tiroidei,,Tutti i precedenti,Nessuno dei precedenti,E
191,"Trattamenti per tachicardie di origine non determinata con QRS slargato
includono tutte le seguenti pratiche tranne:",,cardioversione,verapamil endovena,procainamide endovena,massaggio del seno carotideo,E
192,Quale di queste condizioni non si associa a ipogonadismo ipogonadotropo:,,anoressia nervosa,"Una maratoneta professionista che percorra 15-20 km al giorno per
allenarsi",Sindrome di Turner,Sindrome di Kallman,E
193,"Il rischio di trisomia 21 nei figli di un portatore di traslocazione bilanciata
Robertsoniana 14;21 è maggiore",,se il portatore è il padre,se il portatore è la madre,se il cromosoma 21 libero del portatore è inattivato,se la traslocazione nel genitore è de novo,E
194,Da quale di queste strutture il mesotelioma maligno non origina?,,meningi,pericardio,peritoneo,tonaca vaginale del testicolo,E
195,I più frequenti tumori cerebrali sono:,,Meningiomi,Metastasi,Pinealomi,pendimomi,E
196,"Una giovane donna di 29 anni riferisce ulcera peptica recidivante. E' stata
ricoverata tre volte per ulcera duodenale. Attualmente è in trattamento con
inibitori di pompa protonica due volte al dì e si lamenta di cefalea, diarrea e
sintomi da malattia da reflusso gastro-esofageo. Il primo esame per
diagnosticare la sua condizione è:",cido 5-Idrossiindolacetico,Prolattinemia,Gastrinemia,,Ricerca della giardia,E
197,"Quali cellule possono essere utilizzate per misurare l'attività del recettore
LDL ai fini della diagnosi di ipercolesterolemia familiare?",,epatociti,cellule endoteliali,enterociti,nessuna di queste,E
198,"Quali sono i principali fattori di rischio coronarico nel paziente affetto da
diabete di tipo 2?",,,,"I fattori di rischio classici ( fumo, ipertensione, ipercolesterolemia,
iperglicemia) a cui si deve aggiungere l'ipertrigliceridemia",Nessuno di quelli indicati,E
199,Il genoma mitocondriale ha circ,,15000 paia di basi,,,,B
200,"Quali dei seguenti corticosteroidi sono generalmente usati nell'asma
allergico per via inalatoria?",,metilprednisolone,fluticasone propionato,desametasone,triamcinolone,E
201,"Da che cosa è caratterizzata la dislipidemia tipo III (
disbetalipoproteinemia)",,aumento delle L,"aumento della colesterolemia e della trigliceridemia totale accompagnata
dalla presenza della larga banda beta",da un aumento della trigliceridemia accompagnata ad iperinsulinemia,nessuna delle precedenti,E
202,"Una donna di 25 anni viene a visita per dolore addominale e diarrea. E'
sintomatica da circa 5 anni. I suoi sintomi sono quelli di una sindrome
dell'intestino irritabile e l'esame obiettivo è negativo. La paziente vuole
sapere da voi cosa comporta questa diagnosi. Cosa le dite?",,comporterà alla fine un intervento di colectomia,comporta perdita di peso e malassorbimento,un disturbo cronico scarsamente suscettibile a terapia,aumenta il rischio di complicanze in gravidanza,E
203,Rappresentano complicanze del cateterismo venoso centrale in succlavia:,,,Infezioni,Pneumotorace,Tutte le complicanze indicate,E
204,"Un paziente con artrite reumatoide si presenta per gravi sintomi e marcate
alterazioni radiografiche all' anca a sinistra. Il trattamento consigliabile è:",,osteotomia valgizzante dell' anca,protesi totale,artrodesi dell'anca,perforazioni della testa del femore,E
205,Malattia emorragica ereditaria piu' comune tra le seguenti:,,,sindrome di Rendu Osler,,Malattia di von Willebrand,E
206,"Alterazione piu' comune associata allo sviluppo della sindrome da distress
respiratorio nell'adulto:",,pancreatite,polmonite,sepsi,ustioni gravi,E
207,"Si definisce una condizione di grave ipomagnesiemia una concentrazione
sierica di magnesio di:",,compresa tra 2 e 3.5 mg/dl,inferiore a 1 mg/dl,compresa tra 1 e 3 mg/dl,superiore a 4 ng/l,E
208,Il soggetto affetto da ipocondria e' più incline a:,,"Sperimentare la ""belle indifference""",risi di pianto,Manifestare una perdita di funzioni fisiche,,E
209,"Accurata stadiazione clinico-radiologica importante a scopo terapeutico e
prognostico in:",,LM,Linfoma non Hodgkin,Malattia di Hodgkin,Leucemia a cellule capellute,E
210,Quale tra le seguenti condizioni non è predisponente allo sviluppo di,spirazione di contenuto gastrico,Sepsi,Infarto acuto del miocardio,,Inalazione di vapori tossici,E
211,L'indagine migliore per diagnosticare un difetto del tubo neurale è:,,dosaggio della gonadotropina corionica,amniocentesi,villocentesi,ecografia,E
212,"Quale è l'esame diagnostico di prima scelta nel sospetto di stenosi
carotidea?",ngio T,,W,oppler,,E
213,Che cosa caratterizza la sindrome chilomicronemica?,,presenza di chilomicroni dopo un pasto,ipertrigliceridemia e presenza dei chilomicroni nel sangue a digiuno,aumento della colesterolemia e della trigliceridemia,nessuna delle precedenti,E
214,Splenectomia terapeutica non indicata in:,,Sferocitosi ereditaria,Porpora trombocitopenica immunoterapia,Malattia di Gaucher,Rottura traumatica della milza,E
215,Tutte le seguenti patologie causano aneurisma aortico tranne:,,trauma,arterite di takayasu,poliartrite nodosa,arterite temporale,E
216,Quale dei seguenti reperti non è tipico della policitemia vera.,,complicazioni trombolitico-emorragiche in più della metà dei pazienti,picco di incidenza intorno ai 60 anni,trasformazione in leucemia in più del 50% dei pazienti,flebotomia forma principale di terapia iniziale,E
217,Anticorpi non evidenziabili in pazienti con infezione da HIV:,),anticardiolipina,crioglobuline,antilinfociti,antiproteina G,E
218,"La diagnosi di FCHL (Iperlipemia Familiare Combinata)si basa sulla
presenza di:",,Ipercolesterolemia ed ipertrigliceridemia nel paziente,"Ipercolesterolemia e/o ipertrigliceridemia nel paziente e nei familiari di 1°
grado",Ipertrigliceridemia nel paziente e nei familiari di primo grado,Nessuno dei precedenti,E
219,"Farmaci che sono utilizzati comunemente nella profilassi del
sanguinamento da varici esofagee:",,Nadololo,Isosorbide mononitrato,Tutte le risposte sono esatte,Nessuna delle risposte è esatta,E
220,"Tutti i seguenti farmaci sono indicati nel trattamentio iniziale dell'angina
instabile tranne:",,eparina e.v.,aspirina,nitrati,metoprololo,E
221,"Una donna di 45 anni, affetta da morbo di Parkinson, riferisce disfagia da
circa un mese. Riferisce difficoltà nell'iniziare la deglutizione; tossisce
spesso quando beve e talvolta l'acqua le esce dal naso. Quale dovrebbe
essere il prossimo passo nel procedimento diagnostico:",,,del collo,Videofluoroscopia della deglutizione,T,E
222,"La stimolazione simpatica del cuore determina tutte le seguenti variazioni
tranne:",,aumento della velocita' di conduzione attraverso il nodo atrio-ventricolare,aumento della velocita' di rilasciamento del muscolo ventricolare,"riduzione della fase IV di depolarizzazione del nodo del seno con
conseguente aumento della frequenza cardiaca",aumento della velocita' di contrazione del muscolo ventricolare,E
223,"Tutti i seguenti reperti sono compatibili con la diagnosi di insufficienza
aortica tranne:",,pulsazioni capillari nei letti ungueali,impulso carotideo ritardato,soffio di austin flint,movimenti della testa,E
224,Le HDL vengono separate nel lipidogramma con la:,,frazione alfa,frazione pre-beta,gammaglobuline,in nessuna delle precedenti,E
225,Reperto non tipico della polimialgia reumatica:,,rigidita' del cingolo pelvico e scapolare,debolezza del cingolo pelvico e scapolare,elevazione della V,anemia normocitica e normocromica,E
226,La emocromatosi è dovuta ad una anomalia del metabolismo del,G-,,SF,IL-5,IL-7,E
228,"Profilassi antibiotica non e' raccomandata prima di procedure dentali in
pazienti con:",,insufficienza aortica,prolasso della mitrale senza reflusso,insufficienza mitralica,stenosi mitralica,E
229,I geni strutturali nel genoma umano sono circa,,30000,300000,3000000,30000000,E
230,La causa più frequente di ES,rteriti,Rottura di malformazione artero-venosa,,Ipertensione arteriosa,,E
231,Quale di queste affermazioni sulla polimialgia reumatica è falsa,,si associa ad aumento marcato degli indici di flogosi,è caratterizzata da una risposta drammatica ai corticosteroidi,si può associare ad arterite di Horton,può manifestarsi con astenia ai cingoli,E
232,Tutti i seguenti farmaci alzano i livelli di ciclosporia tranne:,,diltiazem,eritromicina,ketoconazolo,fluconazolo,E
233,"Manifestazioni extraarticolari dell'artrite reumatoide con grave morbilita' e
mortalita':",,pericardite,cachessia,nodulo reumatoide all'interno della valvola aortica,tutte le precedenti,E
234,Quali sono i criteri diagnostici maggiori della ipercolesterolemia familiare?,,L'aumento della colesterolemia L,L'aumento della colesterolemia L,"L'aumento della colesterolemia totale nel paziente e della trigliceridemia in
un familiare di primo grado",Nessuno dei precedenti,E
235,"L'attivazione dei chemocettori retronodali durante un infarto della parete
inferiore del miocardio puo' avere tutte le seguenti conseguenze tranne:",,sudorazione,tachicardia,nausea,salivazione,E
236,"In anemia microcitica miglior test per discriminare anemia sideropenica da
anemia da patologia cronica:",,,,,,
237,"Situazione riscontrata nella CID ma non nella porpora trombotica
trombocitopenica:",,emolisi,riduzione del fibrinogeno,schistociti nello striscio periferico,trombosi microvascolare,E
238,Quale di questi enzimi trasforma l'acido arachidonico in LTA4?,P,la ciclossigenasi,la fosfolipasi,la 5-lipossigenasi attivata dalla FL,la chininasi I,E
239,Anemia microcitica e da malattia cronica non hanno in comune:,,riduzione del ferro nei globuli rossi nel midollo osseo,riduzione della sideremia,aumento transferrina sierica,riduzione saturazione transferrina,E
240,La sindrome da anticorpi anti-fosfolipidi è caratterizzata da:,,aumentato rischio di trombosi venosa e arteriosa,poliabortività,tutte le precedenti,nessuna delle precedenti,E
241,Di quale classe lipoproteica l' apoB-100 rappresenta l' unica apoproteina ?,,L,H,I chilomicroni,Nessuna delle precedenti,E
242,"Quali delle seguenti malattie monogeniche sono associate ad un aumento
del rischio cardiovascolare?",,Iperlipemia familiare combinata,,L'ipertensione arteriosa,Tutte quelle indicate,E
243,Una delle complicanze del LES è rappresentata da,,insufficienza aortica,ulcera gastrica,tutte le precedenti,nessuna della precedenti,E
